frame    mol0    mol1
  621   7.572   6.043
  622   7.623   6.000
  623   7.571   6.002
  624   7.569   5.933
  625   7.502   6.009
  626   7.626   5.870
  627   7.619   5.944
  628   7.682   6.013
  629   7.681   6.017
  630   7.630   5.998
  631   7.628   6.001
  632   7.713   6.018
  633   7.706   6.184
  634   7.687   6.174
  635   7.636   6.232
  636   7.677   6.175
  637   7.670   6.138
  638   7.677   6.137
  639   7.721   6.144
  640   7.762   6.068
  641   7.679   6.076
  642   7.741   6.174
  643   7.631   6.082
  644   7.713   6.171
  645   7.627   6.140
  646   7.652   6.254
  647   7.615   6.190
  648   7.667   6.248
  649   7.666   6.120
  650   7.664   6.197
  651   7.639   6.151
  652   7.626   6.236
  653   7.624   6.188
  654   7.651   6.139
  655   7.624   6.201
  656   7.590   6.351
  657   7.680   6.289
  658   7.732   6.232
  659   7.690   6.237
  660   7.672   6.238
  661   7.684   6.109
  662   7.684   6.115
  663   7.680   6.352
  664   7.615   6.248
  665   7.581   6.302
  666   7.623   6.189
  667   7.625   6.205
  668   7.579   6.178
  669   7.574   6.083
  670   7.575   5.977
  671   7.637   5.965
  672   7.523   5.937
  673   7.465   5.995
  674   7.562   6.140
  675   7.616   6.034
  676   7.604   5.945
  677   7.608   6.069
  678   7.541   6.190
  679   7.499   6.152
  680   7.502   6.180
  681   7.495   6.189
  682   7.630   6.162
  683   7.585   6.190
  684   7.592   6.276
  685   7.505   6.261
  686   7.584   6.267
  687   7.589   6.211
  688   7.551   6.176
  689   7.552   6.107
  690   7.472   6.087
  691   7.473   6.153
  692   7.424   6.183
  693   7.418   6.123
  694   7.411   6.136
  695   7.428   6.146
  696   7.421   6.144
  697   7.467   6.048
  698   7.467   6.154
  699   7.357   6.165
  700   7.412   6.258
  701   7.436   6.285
  702   7.435   6.113
  703   7.326   6.082
  704   7.321   6.198
  705   7.422   6.126
  706   7.379   6.155
  707   7.373   6.155
  708   7.378   6.158
  709   7.436   6.153
  710   7.468   6.183
  711   7.482   6.189
  712   7.532   6.187
  713   7.537   6.210
  714   7.543   6.210
  715   7.501   6.253
  716   7.578   6.191
  717   7.502   6.193
  718   7.509   6.244
  719   7.513   6.177
  720   7.528   6.169
  721   7.542   6.162
  722   7.543   6.159
  723   7.480   6.158
  724   7.431   6.102
  725   7.465   6.185
  726   7.394   6.186
  727   7.430   6.129
  728   7.460   6.095
  729   7.434   6.094
  730   7.431   6.100
  731   7.448   6.146
  732   7.476   6.230
  733   7.438   6.058
  734   7.413   5.972
  735   7.373   6.130
  736   7.366   6.197
  737   7.307   6.198
  738   7.359   6.205
  739   7.413   6.128
  740   7.354   6.243
  741   7.419   6.222
  742   7.431   6.288
  743   7.372   6.294
  744   7.426   6.287
  745   7.454   6.245
  746   7.436   6.093
  747   7.524   6.209
  748   7.468   6.257
  749   7.535   6.310
  750   7.478   6.305
  751   7.438   6.187
  752   7.450   6.245
  753   7.451   6.168
  754   7.386   6.183
  755   7.491   6.223
  756   7.443   6.307
  757   7.393   6.299
  758   7.316   6.296
  759   7.293   6.391
  760   7.404   6.274
  761   7.434   6.285
  762   7.432   6.270
  763   7.493   6.194
  764   7.308   6.193
  765   7.225   6.079
  766   7.290   6.016
  767   7.444   6.109
  768   7.417   6.055
  769   7.491   5.996
  770   7.460   5.940
  771   7.441   6.040
  772   7.437   6.100
  773   7.502   6.149
  774   7.450   6.161
  775   7.421   6.072
  776   7.453   6.176
  777   7.458   6.185
  778   7.490   6.338
  779   7.530   6.315
  780   7.436   6.313
  781   7.484   6.307
  782   7.391   6.264
  783   7.512   6.105
  784   7.546   6.157
  785   7.541   6.175
  786   7.444   6.089
  787   7.465   6.091
  788   7.463   6.234
  789   7.462   6.180
  790   7.384   6.339
  791   7.355   6.278
  792   7.360   6.115
  793   7.355   6.172
  794   7.398   6.170
  795   7.460   6.167
  796   7.403   6.111
  797   7.327   6.170
  798   7.395   6.175
  799   7.423   6.176
  800   7.372   6.216
  801   7.415   6.193
  802   7.482   6.191
  803   7.480   6.189
  804   7.368   6.244
  805   7.316   6.246
  806   7.323   6.206
  807   7.359   6.178
  808   7.460   6.349
  809   7.464   6.279
  810   7.463   6.097
  811   7.405   6.003
  812   7.468   6.157
  813   7.430   6.265
  814   7.419   6.205
  815   7.447   6.008
  816   7.452   6.013
  817   7.504   6.158
  818   7.459   6.273
  819   7.453   6.201
  820   7.420   6.262
  821   7.336   6.271
  822   7.458   6.153
  823   7.458   6.128
  824   7.511   6.145
  825   7.625   6.132
  826   7.559   6.131
  827   7.499   6.137
  828   7.462   6.001
  829   7.406   6.041
  830   7.425   6.038
  831   7.400   5.897
  832   7.541   5.960
  833   7.508   5.970
  834   7.459   6.085
  835   7.574   6.026
  836   7.623   5.920
  837   7.589   5.986
  838   7.622   6.059
  839   7.646   6.131
  840   7.703   6.135
  841   7.666   6.055
  842   7.672   6.121
  843   7.571   6.161
  844   7.611   6.111
  845   7.611   6.089
  846   7.561   6.043
  847   7.632   5.968
  848   7.569   5.969
  849   7.525   5.980
  850   7.515   5.973
  851   7.461   6.126
  852   7.519   6.104
  853   7.506   6.170
  854   7.503   6.061
  855   7.497   6.234
  856   7.488   6.170
  857   7.516   6.151
  858   7.500   6.289
  859   7.524   6.217
  860   7.464   6.170
  861   7.444   6.238
  862   7.525   6.112
  863   7.396   6.178
  864   7.436   6.173
  865   7.449   6.114
  866   7.434   5.951
  867   7.478   5.904
  868   7.440   5.958
  869   7.497   6.026
  870   7.466   5.961
  871   7.396   5.961
  872   7.407   6.037
  873   7.362   6.033
  874   7.564   6.163
  875   7.401   6.093
  876   7.465   6.093
  877   7.519   5.954
  878   7.482   5.757
  879   7.446   5.851
  880   7.396   5.832
  881   7.434   5.725
  882   7.485   5.811
  883   7.526   5.802
  884   7.463   5.873
  885   7.501   5.931
  886   7.381   5.999
  887   7.443   6.042
  888   7.387   6.165
  889   7.393   5.940
  890   7.439   6.035
  891   7.449   6.046
  892   7.391   6.101
  893   7.502   6.050
  894   7.453   6.130
  895   7.376   6.071
  896   7.364   6.187
  897   7.366   6.139
  898   7.335   6.149
  899   7.370   6.062
  900   7.495   6.153
  901   7.494   6.133
  902   7.416   6.158
  903   7.485   6.154
  904   7.444   6.086
  905   7.335   6.037
  906   7.421   5.908
  907   7.456   5.891
  908   7.514   5.986
  909   7.449   5.969
  910   7.399   5.975
  911   7.505   5.819
  912   7.614   5.990
  913   7.602   6.080
  914   7.601   5.950
  915   7.571   6.115
  916   7.574   6.040
  917   7.501   6.040
  918   7.571   6.131
  919   7.611   6.193
  920   7.542   5.989
  921   7.537   6.082
  922   7.565   6.058
  923   7.571   6.062
  924   7.565   5.950
  925   7.564   5.832
  926   7.575   5.922
  927   7.634   6.000
  928   7.559   6.000
  929   7.580   5.997
  930   7.522   5.996
  931   7.527   5.967
  932   7.616   5.991
  933   7.636   5.993
  934   7.584   5.932
  935   7.525   5.960
  936   7.521   6.011
  937   7.487   5.966
  938   7.419   6.012
  939   7.460   6.087
  940   7.505   6.139
  941   7.499   6.067
  942   7.503   6.069
  943   7.338   6.071
  944   7.455   6.077
  945   7.497   6.123
  946   7.560   6.099
  947   7.562   6.118
  948   7.591   6.054
  949   7.574   6.015
  950   7.616   5.937
  951   7.581   6.007
  952   7.581   5.999
  953   7.614   5.997
  954   7.640   5.884
  955   7.586   5.916
  956   7.640   6.030
  957   7.618   6.062
  958   7.634   6.007
  959   7.720   6.089
  960   7.691   5.952
  961   7.629   6.034
  962   7.680   6.041
  963   7.634   6.046
  964   7.588   6.048
  965   7.623   6.055
  966   7.614   5.973
  967   7.593   5.976
  968   7.642   6.026
  969   7.671   5.978
  970   7.617   5.979
  971   7.617   5.991
  972   7.623   5.981
  973   7.622   6.024
  974   7.599   6.027
  975   7.606   6.076
  976   7.633   6.042
  977   7.674   6.043
  978   7.674   6.051
  979   7.630   6.047
  980   7.630   6.052
  981   7.621   6.059
  982   7.620   6.063
  983   7.613   6.024
  984   7.602   6.061
  985   7.512   6.117
